Omniva  [58.1260316,25.358787]
Omniva  [47.28167,8.45023]
Omniva  [26.91667,87.91667]
Omniva  [58.9098825,24.4337396]
Omniva  [58.6052509,23.2359589]
Omniva  [59.4549145,24.4439803]
Omniva  [26.91667,87.91667]
Omniva  [47.27541,8.4897]
Omniva  [59.3808561,28.1767378]
Omniva  [34,9]
Omniva  [26.91667,87.91667]
Omniva  [34,9]
Omniva  [59.385076,28.190345]
Omniva  [59.3866893,28.1790554]
Omniva  [34,9]
Omniva  [59.459989831042044, 28.041683285276928]
Omniva  [34,9]
Omniva  [58.558738,23.0824358]
Omniva  [58.0584907,26.4960599]
Omniva  [36.875217,-84.849373]
Omniva  [26.58333,87.91667]
Omniva  [58.373644,24.6178266]
Omniva  [36.98333,10.11667]
Omniva  [41.66667,2]
Omniva  [58.3955922,24.4580486]
Omniva  [34,9]
Omniva  [34,9]
Omniva  [58.3744845,24.5369957]
Omniva  [26.66667,87.16667]
Omniva  [58.3884575,24.5057773]
Omniva  [58.3800034,24.52712]
Omniva  [34,9]
Omniva  [58.4085004,24.4943758]
Omniva  [34,9]
Omniva  [59.3977913,24.805542]
Omniva  [59.4023808,24.8109219]
Omniva  [58.6540989,25.9806342]
Omniva  [34,9]
Omniva  [47.435544,-92.778663]
Omniva  [58.06388920085198, 27.071081825486527]
Omniva  [47.28167,8.45023]
Omniva  [59.3696264,25.1830216]
Omniva  [58.987864202702426, 26.24172826893029]
Omniva  [34,9]
Omniva  [59.369217,26.3360753]
Omniva  [34,9]
Omniva  [47.28167,8.45023]
Omniva  [38.5,-0.5]
Omniva  [58.0960595,27.450842]
Omniva  [58.9982506,24.7907483]
Omniva  [59.00523,24.7932232]
Omniva  [58.998005,24.0590475]
Omniva  [58.1439905,26.2485158]
Omniva  [59.2217401,24.6718185]
Omniva  [47.27541,8.4897]
Omniva  [47.28167,8.45023]
Omniva  [59.293307,24.6562615]
Omniva  [58.1633165,22.2547587]
Omniva  [59.3219021,24.5564681]
Omniva  [34,9]
Omniva  [47.27541,8.4897]
Omniva  [59.3920184,27.782718]
Omniva  [59.39134,27.7907554]
Omniva  [58.40793,24.6596722]
Omniva  [45.451861,-90.932812]
Omniva  [59.4299064,24.5436286]
Omniva  [47.27541,8.4897]
Omniva  [59.403246,24.6554195]
Omniva  [34,9]
Omniva  [59.44071036398726, 24.737701698550065]
Omniva  [26.66667,87.5]
Omniva  [59.401768,24.6685833]
Omniva  [59.4211214,24.6512281]
Omniva  [47.27541,8.4897]
Omniva  [35.61667,10.75]
Omniva  [59.393409,24.7192687]
Omniva  [59.4073346,24.6408042]
Omniva  [34,9]
Omniva  [59.4124701,24.6667414]
Omniva  [59.4282253,24.6269175]
Omniva  [38.5,-0.5]
Omniva  [26.91667,87.91667]
Omniva  [34,9]
Omniva  [36.63333,10.25]
Omniva  [59.4114816,24.6372697]
Omniva  [34,9]
Omniva  [59.4508693,24.8617542]
Omniva  [59.4528542,24.8745859]
Omniva  [59.4407296,24.8635227]
Omniva  [59.4407296,24.8635227]
Omniva  [59.4434046,24.8635381]
Omniva  [34,9]
Omniva  [59.450159,24.8811793]
Omniva  [59.4150023,24.7391667]
Omniva  [59.4013854,24.6973139]
Omniva  [59.3721561,24.7165904]
Omniva  [59.4223618,24.6972158]
Omniva  [59.4343042,24.723727]
Omniva  [47.27541,8.4897]
Omniva  [59.4085527,24.6888524]
Omniva  [26.58333,87.91667]
Omniva  [27.58333,87.33333]
Omniva  [59.4183293,24.7222286]
Omniva  [59.3888366,24.6846018]
Omniva  [59.4126925,24.6609287]
Omniva  [59.4114777,24.6473109]
Omniva  [41.91667,9.16667]
Omniva  [59.3608822,24.6307275]
Omniva  [34,9]
Omniva  [34,9]
Omniva  [59.3806545,24.660285]
Omniva  [34,9]
Omniva  [59.4685345,24.8348637]
Omniva  [59.462283,24.8283849]
Omniva  [59.4438927,24.7504325]
Omniva  [34,9]
Omniva  [59.3662954,24.7599437]
Omniva  [59.4266429,24.6524183]
Omniva  [41.66667,2]
Omniva  [59.433324,24.8313426]
Omniva  [59.4335637,24.7515184]
Omniva  [34,9]
Omniva  [59.4074492,24.7044132]
Omniva  [59.4145752,24.7076448]
Omniva  [34,9]
Omniva  [34,9]
Omniva  [59.3954359,24.6835279]
Omniva  [59.4244832,24.794081]
Omniva  [59.4419122,24.8499801]
Omniva  [59.401419,24.7175188]
Omniva  [59.4087942,24.6753719]
Omniva  [34,9]
Omniva  [34,9]
Omniva  [59.4112797,24.7367543]
Omniva  [59.4034702,24.7151292]
Omniva  [34,9]
Omniva  [34,9]
Omniva  [47.28167,8.45023]
Omniva  [26.58333,87.91667]
Omniva  [41.66667,2]
Omniva  [34,9]
Omniva  [59.3814247,24.7009637]
Omniva  [34,9]
Omniva  [59.4031546,24.6693498]
Omniva  [59.4365991,24.7549171]
Omniva  [34,9]
Omniva  [47.27541,8.4897]
Omniva  [34,9]
Omniva  [41.66667,2]
Omniva  [58.3779615,26.7602122]
Omniva  [58.3685873,26.7664697]
Omniva  [58.3732615,26.7491522]
Omniva  [35.20703,-88.33754]
Omniva  [34,9]
Omniva  [34,9]
Omniva  [34,9]
Omniva  [25.75,81.75]
Omniva  [58.3678175,26.7170195]
Omniva  [47.28167,8.45023]
Omniva  [48.8534,2.3486]
Omniva  [65.15041,-149.34971]
Omniva  [34,9]
Omniva  [58.3543346,26.7129717]
Omniva  [58.3779615,26.7602122]
Omniva  [-9.376,-171.233]
Omniva  [47.28167,8.45023]
Omniva  [34,9]
Omniva  [47.28167,8.45023]
Omniva  [38.015431,-83.441239]
Omniva  [47.27541,8.4897]
Omniva  [38.5,-0.5]
Omniva  [47.28167,8.45023]
Omniva  [47.27541,8.4897]
Omniva  [58.334595,23.9940655]
Omniva  [59.079812082205855, 24.239027628014757]
Omniva  [34,9]
Omniva  [58.3151163,26.7220739]
Omniva  [58.9405538,23.5824691]
Omniva  [59.4189359,24.3359605]
Omniva  [59.2854,24.9762]
Omniva  [59.1323721,26.2534205]
Omniva  [57.7741776,26.0443293]
Omniva  [47.28167,8.45023]
Omniva  [58.6540237,25.0382137]
Omniva  [58.430635,23.7542033]
Omniva  [58.1663765,26.9324825]
Omniva  [58.0044755,27.3476149]
Omniva  [59.5062367,24.8310435]
Omniva  [26.58333,87.91667]
Omniva  [59.5057207,24.8280974]
Omniva  [47.27541,8.4897]
Omniva  [47.28167,8.45023]
Omniva  [58.3531304,25.5840531]
Omniva  [39.5,-0.75]
Omniva  [41.66667,2]
Omniva  [35.61667,10.75]
Omniva  [58.572369,23.5149147]
Omniva  [46.06966,11.12177]
Omniva  [34,9]
Omniva  [34,9]
Omniva  [47.28167,8.45023]

Itella [59.3276826,27.4203747]
Itella [59.4320191,24.8237706]
Itella [59.4484234,24.8451053]
Itella [58.38062,26.72509]
Itella [59.3579653,24.9121106]
Itella [59.3345525,25.3331962]
Itella [59.3125093,24.4175101]
Itella [59.3069122,24.4141243]
Itella [59.31323,24.422028]
Itella [59.309999,24.8343044]
Itella [59.1795016,25.1660087]
Itella [59.4465883,25.4439176]
Itella [59.4452739,25.4333561]
Itella [59.378141,24.238757]
Itella [59.6056515,25.4984578]
Itella [59.4309355,24.9625163]
Itella [59.4735476,25.0198472]
Itella [59.4871351,25.0182852]
Itella [59.43696,24.75353]
Itella [59.3496292,24.059654]
Itella [59.43696,24.75353]
Itella [59.293307,24.6562615]
Itella [59.3241353,24.5479364]
Itella [59.324317,24.5607692]
Itella [59.4299064,24.5436286]
Itella [59.4436236,24.8732071]
Itella [59.5062367,24.8310435]
Itella [59.5046012,24.8266375]
Itella [59.5049447,24.8300415]
Itella [59.3922839,24.7229564]
Itella [59.353402,24.6285812]
Itella [59.43696,24.75353]
Itella [59.3662954,24.7599437]
Itella [59.4519319,24.7176649]
Itella [59.43696,24.75353]
Itella [59.4407643,24.7353976]
Itella [59.431588,24.7451302]
Itella [59.4250681,24.643705]
Itella [59.3825646,24.6637286]
Itella [59.393409,24.7192687]
Itella [59.4124701,24.6667414]
Itella [59.4272232,24.640069]
Itella [59.4453906,24.8797422]
Itella [59.4340891,24.7696565]
Itella [59.43696,24.75353]
Itella [59.4118287,24.6375238]
Itella [59.4268838,24.7224662]
Itella [59.4268838,24.7224662]
Itella [59.4528542,24.8745859]
Itella [59.4407296,24.8635227]
Itella [59.433324,24.8313426]
Itella [59.4430897,24.8632945]
Itella [59.4488137,24.8629618]
Itella [59.4269139,24.7195562]
Itella [59.3721561,24.7165904]
Itella [59.4223618,24.6972158]
Itella [59.421982,24.6997229]
Itella [59.4302756,24.6975251]
Itella [59.4085527,24.6888524]
Itella [59.4080332,24.6871246]
Itella [59.4415073,24.7630563]
Itella [59.3876383,24.6835182]
Itella [59.4108432,24.6643027]
Itella [59.4114777,24.6473109]
Itella [59.3932536,24.7237897]
Itella [59.4448288,24.7004477]
Itella [59.4685345,24.8348637]
Itella [59.462283,24.8283849]
Itella [59.450159,24.8811793]
Itella [59.4266429,24.6524183]
Itella [59.4431029,24.7631313]
Itella [59.4260591,24.7828926]
Itella [59.4438373,24.8227215]
Itella [59.4335637,24.7515184]
Itella [59.4074492,24.7044132]
Itella [59.4145752,24.7076448]
Itella [59.4315861,24.7603772]
Itella [59.4472484,24.6928579]
Itella [59.4244832,24.794081]
Itella [59.4419122,24.8499801]
Itella [59.4034702,24.7151292]
Itella [59.4535224,24.7050985]
Itella [59.432222,24.7801897]
Itella [59.4215601,24.7958311]
Itella [59.4026721,24.6866163]
Itella [59.4408479,24.8439666]
Itella [59.4356683,24.7547949]
Itella [58.9985186,22.7469951]
Itella [58.9907455,22.7649005]
Itella [59.3379836,27.4201844]
Itella [59.353204,27.4116442]
Itella [59.3537151,27.4197591]
Itella [59.3582307,27.4140968]
Itella [59.3567278,26.9755626]
Itella [59.3808561,28.1767378]
Itella [59.3785035,28.1892804]
Itella [59.3866893,28.1790554]
Itella [59.392482,27.784306]
Itella [59.39697,27.76331]
Itella [58.7454777,25.7682602]
Itella [58.8866363,25.5399807]
Itella [58.8866759,25.5560518]
Itella [58.8855116,25.5630308]
Itella [58.8076498,25.4284825]
Itella [58.8123181,25.4298564]
Itella [58.746646,26.395943]
Itella [58.7431149,26.3751866]
Itella [58.8479043,26.9451201]
Itella [58.6540989,25.9806342]
Itella [58.9402924,23.5422211]
Itella [58.9389604,23.5405777]
Itella [58.9405538,23.5824691]
Itella [58.9358478,23.5720456]
Itella [59.4337655,26.2666029]
Itella [59.3412697,26.1308269]
Itella [59.5004744,26.5184524]
Itella [59.34639,26.35583]
Itella [59.3652351,26.3329041]
Itella [59.3549549,26.3836351]
Itella [59.2652459,25.9628125]
Itella [59.2648693,25.966657]
Itella [58.1530218,24.9627322]
Itella [58.373644,24.6178266]
Itella [58.607582,24.5013415]
Itella [58.3696643,24.5511046]
Itella [58.3870692,24.5011976]
Itella [58.3683947,24.5464826]
Itella [58.3955922,24.4580486]
Itella [58.3744845,24.5369957]
Itella [58.3875623,24.5043581]
Itella [58.3819895,24.5096157]
Itella [58.4085004,24.4943758]
Itella [58.4288294,24.4977568]
Itella [58.404837,24.651705]
Itella [58.3888603,24.6075418]
Itella [58.3940228,24.4612318]
Itella [58.6540237,25.0382137]
Itella [58.0518612,27.0460039]
Itella [58.0638185,27.0710459]
Itella [58.0974027,27.4634663]
Itella [58.7744416,24.8181836]
Itella [59.167185,24.749503]
Itella [58.904565,24.425701]
Itella [58.9982506,24.7907483]
Itella [59.0097382,24.7933929]
Itella [58.2654935,22.5165212]
Itella [58.2628004,22.4802212]
Itella [58.2632267,22.5080996]
Itella [58.246815,22.4590209]
Itella [58.5590602,23.0819442]
Itella [58.6020549,27.1281379]
Itella [58.2206482,26.4043706]
Itella [58.147186,26.2488859]
Itella [58.1439905,26.2485158]
Itella [58.3573986,26.7205858]
Itella [58.3384083,26.6549059]
Itella [58.3685873,26.7664697]
Itella [58.3732615,26.7491522]
Itella [58.3780484,26.7275486]
Itella [58.3780484,26.7275486]
Itella [58.3795248,26.7643967]
Itella [58.3768196,26.729074]
Itella [58.38062,26.72509]
Itella [58.358475,26.677486]
Itella [58.3716423,26.7797022]
Itella [58.4082214,26.7439108]
Itella [58.38062,26.72509]
Itella [58.4027253,26.7414419]
Itella [58.3824668,26.7302361]
Itella [58.3684178,26.7390834]
Itella [58.3530072,26.686454]
Itella [58.37503,26.7564669]
Itella [58.349344,26.74006]
Itella [58.3638423,26.7408383]
Itella [58.3652089,26.7193581]
Itella [58.3777866,26.7302297]
Itella [58.3850205,26.6919062]
Itella [58.3865365,26.7238109]
Itella [58.4016817,26.720824]
Itella [58.3761375,26.6971336]
Itella [58.3230362,26.7106711]
Itella [58.3151163,26.7220739]
Itella [58.0587928,26.4973204]
Itella [57.9978749,25.9326292]
Itella [58.0063684,25.9143718]
Itella [57.7768769,26.0273595]
Itella [57.77781,26.0473]
Itella [59.407228,27.2848929]
Itella [58.2351775,25.8654565]
Itella [58.3681706,25.5984795]
Itella [58.1931215,25.5606974]
Itella [58.3531304,25.5840531]
Itella [58.3666665,25.5927846]
Itella [58.36389,25.59]
Itella [58.3632072,25.5913106]
Itella [58.6309055,25.5583938]
Itella [57.828949,26.530022]
Itella [57.731983,27.2840114]
Itella [57.8457813,27.0088434]
Itella [57.835389,27.009807]
Itella [57.8346228,27.0098856]

Dpd [59.4496209,26.8668768]
Dpd [58.1252437,25.3415437]
Dpd [59.2869603,25.6106361]
Dpd [58.2088297,27.0751343]
Dpd [59.3379836,27.4201844]
Dpd [58.6024626,27.124698]
Dpd [57.76667,26.93333]
Dpd [59.3705612,25.0781188]
Dpd [58.9860125,26.8701557]
Dpd [59.3649909,24.8987641]
Dpd [58.2206482,26.4043706]
Dpd [58.9394948,23.5415695]
Dpd [58.9369361,23.5645321]
Dpd [59.4350024,26.2525179]
Dpd [58.3507625,26.789044]
Dpd [59.095002,27.3146208]
Dpd [58.91667,25.66667]
Dpd [58.7431149,26.3751866]
Dpd [59.3620922,27.4013826]
Dpd [59.3582788,27.4141744]
Dpd [58.7744416,24.8181836]
Dpd [59.0382034,25.8842788]
Dpd [59.3537763,24.8924802]
Dpd [58.9624185,26.0280621]
Dpd [59.407228,27.2848929]
Dpd [59.3412697,26.1308269]
Dpd [58.23509,26.6949453]
Dpd [57.9857777,26.7595264]
Dpd [58.104291,25.5482396]
Dpd [59.3345525,25.3331962]
Dpd [58.9259395,24.8718354]
Dpd [59.3105885,24.4325674]
Dpd [59.31323,24.422028]
Dpd [59.309999,24.8343044]
Dpd [58.147573,24.9494284]
Dpd [59.3573876,26.9761776]
Dpd [59.319965,24.234971]
Dpd [59.163559,24.7575396]
Dpd [59.397924,27.2852958]
Dpd [59.4028743,27.2892384]
Dpd [59.1795016,25.1660087]
Dpd [59.5004744,26.5184524]
Dpd [58.2525765,22.4863051]
Dpd [58.2632267,22.5080996]
Dpd [59.4499323,25.4330656]
Dpd [58.8275465,22.7767714]
Dpd [58.9907455,22.7649005]
Dpd [59.3433949,24.6154395]
Dpd [59.357546,24.6020836]
Dpd [59.378141,24.238757]
Dpd [58.5718025,22.6822124]
Dpd [58.686675,23.8336845]
Dpd [59.5792288,25.7279754]
Dpd [59.4358105,24.9422153]
Dpd [59.4735476,25.0198472]
Dpd [58.6052358,23.2366791]
Dpd [59.4549145,24.4439803]
Dpd [58.2351775,25.8654565]
Dpd [58.8493,26.9451615]
Dpd [58.9076898,24.4359577]
Dpd [59.3808561,28.1767378]
Dpd [59.3866893,28.1790554]
Dpd [59.3641792,28.186764]
Dpd [59.25,27.41667]
Dpd [59.3872116,28.1674168]
Dpd [59.3855222,28.1842282]
Dpd [59.3785035,28.1892804]
Dpd [59.25,27.41667]
Dpd [58.2772769,26.5362665]
Dpd [58.558738,23.0824358]
Dpd [58.0587928,26.4973204]
Dpd [58.8868313,25.569118]
Dpd [58.373644,24.6178266]
Dpd [59.3518405,24.0514994]
Dpd [59.3977913,24.805542]
Dpd [59.4023808,24.8109219]
Dpd [58.3351365,26.3102525]
Dpd [58.5768465,26.2893528]
Dpd [58.6539145,25.9779105]
Dpd [58.0638185,27.0710459]
Dpd [57.7292343,26.9174406]
Dpd [58.3700317,24.5507706]
Dpd [58.3873675,24.5013806]
Dpd [58.3955922,24.4580486]
Dpd [58.3587514,24.5724847]
Dpd [58.4085004,24.4943758]
Dpd [58.6091421,24.505032]
Dpd [59.5025416,24.8678366]
Dpd [59.3598772,27.0368445]
Dpd [59.3696264,25.1830216]
Dpd [59.25,26.33333]
Dpd [59.3640156,26.3405363]
Dpd [59.0107989,24.7932741]
Dpd [58.1421515,26.2476908]
Dpd [58.0974027,27.4634663]
Dpd [59.10432,24.3128301]
Dpd [59.2931975,24.6574137]
Dpd [59.3241353,24.5479364]
Dpd [58.4288294,24.4977568]
Dpd [59.3909122,27.7744348]
Dpd [58.404837,24.651705]
Dpd [58.5363442,25.4653542]
Dpd [59.164612,26.1125805]
Dpd [59.4299064,24.5436286]
Dpd [59.4028379,24.6560974]
Dpd [59.4519319,24.7176649]
Dpd [59.4405073,24.738396]
Dpd [59.4313282,24.6290422]
Dpd [59.3825646,24.6637286]
Dpd [59.4317383,24.8234709]
Dpd [59.3732477,24.6650412]
Dpd [59.393409,24.7192687]
Dpd [59.4031546,24.6693498]
Dpd [59.4124701,24.6667414]
Dpd [59.4380305,24.8295982]
Dpd [59.4282253,24.6269175]
Dpd [59.4284431,24.7761574]
Dpd [59.4203775,24.7292365]
Dpd [59.4406989,24.7066109]
Dpd [59.4269537,24.7214613]
Dpd [59.4449806,24.883154]
Dpd [59.4405796,24.8627538]
Dpd [59.4463893,24.8637122]
Dpd [59.450159,24.8811793]
Dpd [59.4528542,24.8745859]
Dpd [59.4161145,24.7399346]
Dpd [59.4023276,24.6972348]
Dpd [59.4089246,24.6817106]
Dpd [59.4421676,24.8736492]
Dpd [59.4227698,24.6964113]
Dpd [59.4068486,24.683054]
Dpd [59.3721561,24.7165904]
Dpd [59.4386065,24.7704412]
Dpd [59.4135441,24.6550733]
Dpd [59.4296278,24.7923335]
Dpd [59.4484234,24.8451053]
Dpd [59.4350817,24.8111115]
Dpd [59.4450291,24.7005911]
Dpd [59.4889551,24.8371688]
Dpd [59.462283,24.8283849]
Dpd [59.4345889,24.8348773]
Dpd [59.4441722,24.7430001]
Dpd [59.3662954,24.7599437]
Dpd [59.4357904,24.7209426]
Dpd [59.4072471,24.8072546]
Dpd [59.4348517,24.8305344]
Dpd [59.4472484,24.6928579]
Dpd [59.4315861,24.7603772]
Dpd [59.4145752,24.7076448]
Dpd [59.441545,24.7299041]
Dpd [59.4284642,24.705427]
Dpd [59.4031716,24.7159747]
Dpd [59.4360871,24.7782196]
Dpd [59.4419122,24.8499801]
Dpd [59.4529605,24.7169552]
Dpd [59.4031546,24.6693498]
Dpd [59.4248259,24.7435771]
Dpd [59.4365991,24.7549171]
Dpd [59.4073346,24.6408042]
Dpd [59.4296626,24.7671114]
Dpd [59.4488137,24.8629618]
Dpd [59.418855,24.6426269]
Dpd [59.411548,24.6475319]
Dpd [59.4211214,24.6512281]
Dpd [59.4215601,24.7958311]
Dpd [59.2648693,25.966657]
Dpd [58.3729814,26.7543977]
Dpd [58.3761176,26.7804203]
Dpd [58.3573986,26.7205858]
Dpd [58.3730777,26.7507363]
Dpd [58.3699807,26.7100685]
Dpd [58.370386,26.7215565]
Dpd [58.3725136,26.7383438]
Dpd [58.3586092,26.6765849]
Dpd [58.39209,26.7298993]
Dpd [58.4027253,26.7414419]
Dpd [58.3684522,26.7388492]
Dpd [58.3720065,26.7208344]
Dpd [58.3530072,26.686454]
Dpd [58.3761375,26.6971336]
Dpd [58.0027113,25.9223885]
Dpd [58.3865365,26.7238109]
Dpd [58.3230362,26.7106711]
Dpd [58.3360157,23.9931082]
Dpd [58.8085276,25.4272089]
Dpd [58.9405538,23.5824691]
Dpd [59.2856291,24.9765248]
Dpd [59.4041424,27.581473]
Dpd [58.630441,25.5580839]
Dpd [57.7778286,26.0281311]
Dpd [57.731983,27.2840114]
Dpd [59.33333,24.83333]
Dpd [59.5049447,24.8300415]
Dpd [59.5049443,24.8270581]
Dpd [58.3548673,25.5847268]
Dpd [58.3706613,25.583185]
Dpd [58.3691544,25.5989755]
Dpd [57.8353661,27.0101973]
Dpd [57.847815,27.0048602]
Dpd [59.128426,26.252485]
Dpd [58.6540237,25.0382137]
Dpd [57.9590944,27.6315742]
Dpd [59.4334915,24.3679483]
Dpd [58.3151163,26.7220739]
